"chain","seed","lda_topic","rank","term"
3,323,"LDA_T4",12,"imag"
3,323,"LDA_T4",13,"area"
3,323,"LDA_T4",14,"pollut"
3,323,"LDA_T4",15,"stress"
3,323,"LDA_T4",16,"green"
3,323,"LDA_T4",17,"level"
3,323,"LDA_T4",18,"visibl"
3,323,"LDA_T4",19,"walkabl"
3,323,"LDA_T4",20,"influenc"
3,323,"LDA_T5",1,"imag"
3,323,"LDA_T5",2,"point"
3,323,"LDA_T5",3,"veget"
3,323,"LDA_T5",4,"segment"
3,323,"LDA_T5",5,"data"
3,323,"LDA_T5",6,"tree"
3,323,"LDA_T5",7,"cubixel"
3,323,"LDA_T5",8,"plant"
3,323,"LDA_T5",9,"layer"
3,323,"LDA_T5",10,"cloud"
3,323,"LDA_T5",11,"featur"
3,323,"LDA_T5",12,"natur"
3,323,"LDA_T5",13,"map"
3,323,"LDA_T5",14,"content"
3,323,"LDA_T5",15,"process"
3,323,"LDA_T5",16,"algorithm"
3,323,"LDA_T5",17,"springer"
3,323,"LDA_T5",18,"use"
3,323,"LDA_T5",19,"palm"
3,323,"LDA_T5",20,"appli"
3,323,"LDA_T6",1,"urban"
3,323,"LDA_T6",2,"street"
3,323,"LDA_T6",3,"featur"
3,323,"LDA_T6",4,"model"
3,323,"LDA_T6",5,"visual"
3,323,"LDA_T6",6,"percept"
3,323,"LDA_T6",7,"environ"
3,323,"LDA_T6",8,"imag"
3,323,"LDA_T6",9,"citi"
3,323,"LDA_T6",10,"color"
3,323,"LDA_T6",11,"road"
3,323,"LDA_T6",12,"view"
3,323,"LDA_T6",13,"qualiti"
3,323,"LDA_T6",14,"data"
3,323,"LDA_T6",15,"thermal"
3,323,"LDA_T6",16,"valu"
3,323,"LDA_T6",17,"streetscap"
3,323,"LDA_T6",18,"use"
3,323,"LDA_T6",19,"effect"
3,323,"LDA_T6",20,"predict"
3,323,"LDA_T7",1,"cluster"
3,323,"LDA_T7",2,"model"
3,323,"LDA_T7",3,"data"
3,323,"LDA_T7",4,"locat"
3,323,"LDA_T7",5,"area"
3,323,"LDA_T7",6,"predict"
3,323,"LDA_T7",7,"mobil"
3,323,"LDA_T7",8,"use"
3,323,"LDA_T7",9,"urban"
3,323,"LDA_T7",10,"shape"
3,323,"LDA_T7",11,"citi"
3,323,"LDA_T7",12,"parcel"
3,323,"LDA_T7",13,"learn"
3,323,"LDA_T7",14,"choic"
3,323,"LDA_T7",15,"type"
3,323,"LDA_T7",16,"result"
3,323,"LDA_T7",17,"complex"
3,323,"LDA_T7",18,"transport"
3,323,"LDA_T7",19,"studi"
3,323,"LDA_T7",20,"activ"
3,323,"LDA_T8",1,"design"
3,323,"LDA_T8",2,"urban"
3,323,"LDA_T8",3,"space"
3,323,"LDA_T8",4,"emot"
3,323,"LDA_T8",5,"crossref"
3,323,"LDA_T8",6,"plan"
3,323,"LDA_T8",7,"figur"
3,323,"LDA_T8",8,"data"
3,323,"LDA_T8",9,"public"
3,323,"LDA_T8",10,"process"
3,323,"LDA_T8",11,"environ"
3,323,"LDA_T8",12,"visual"
3,323,"LDA_T8",13,"develop"
3,323,"LDA_T8",14,"tool"
3,323,"LDA_T8",15,"approach"
3,323,"LDA_T8",16,"effect"
3,323,"LDA_T8",17,"technolog"
3,323,"LDA_T8",18,"evalu"
3,323,"LDA_T8",19,"generat"
3,323,"LDA_T8",20,"provid"
